variant,writers,readers,read_mops,write_mops
dotnet-long-long,1,1,2.14,2.17
dotnet-long-long,1,2,3.95,1.99
dotnet-long-long,1,4,6.87,1.71
dotnet-long-long,1,8,10.41,1.19
dotnet-long-long,2,1,2.17,4.23
dotnet-long-long,2,2,4.06,3.88
dotnet-long-long,2,4,6.31,2.96
dotnet-long-long,2,8,9.49,2.21
dotnet-long-long,4,1,1.71,6.94
dotnet-long-long,4,2,3.15,6.24
dotnet-long-long,4,4,5.79,5.56
dotnet-long-long,4,8,8.92,4.29
dotnet-long-long,8,1,1.37,10.74
dotnet-long-long,8,2,2.59,10.21
dotnet-long-long,8,4,4.27,8.71
dotnet-long-long,8,8,6.97,6.95
dotnet-ref-ref,1,1,1.98,1.99
dotnet-ref-ref,1,2,3.90,1.87
dotnet-ref-ref,1,4,6.39,1.60
dotnet-ref-ref,1,8,11.26,1.25
dotnet-ref-ref,2,1,2.36,4.19
dotnet-ref-ref,2,2,3.81,3.41
dotnet-ref-ref,2,4,6.43,2.83
dotnet-ref-ref,2,8,9.89,2.38
dotnet-ref-ref,4,1,1.66,6.49
dotnet-ref-ref,4,2,3.50,6.78
dotnet-ref-ref,4,4,5.05,4.92
dotnet-ref-ref,4,8,7.89,3.89
dotnet-ref-ref,8,1,1.30,10.30
dotnet-ref-ref,8,2,2.53,10.00
dotnet-ref-ref,8,4,3.88,7.77
dotnet-ref-ref,8,8,6.53,6.32
java-cslm-Long-Long,1,1,2.34,2.27
java-cslm-Long-Long,1,2,4.74,2.19
java-cslm-Long-Long,1,4,7.77,1.81
java-cslm-Long-Long,1,8,11.59,1.38
java-cslm-Long-Long,2,1,2.30,4.32
java-cslm-Long-Long,2,2,4.42,4.16
java-cslm-Long-Long,2,4,7.79,3.67
java-cslm-Long-Long,2,8,11.39,2.61
java-cslm-Long-Long,4,1,2.06,7.67
java-cslm-Long-Long,4,2,3.58,6.84
java-cslm-Long-Long,4,4,6.24,5.83
java-cslm-Long-Long,4,8,9.26,4.36
java-cslm-Long-Long,8,1,1.48,11.45
java-cslm-Long-Long,8,2,2.72,10.59
java-cslm-Long-Long,8,4,4.66,9.12
java-cslm-Long-Long,8,8,7.05,6.88
